Title,Description,Type,MediaURL,Thumbnail,MinTier,PublishDate,Status,Duration,SortOrder
Uncut Vlog: The Real Story Behind My Viral Moment,The full uncut footage of what really happened behind the scenes. You won't believe what we didn't show!,Uncut Moments,,,Bestie,2026-03-22,Published,18:30,1
Personal Message: Thank You Alex Nation!,A heartfelt personal video message from Alex to all her members. Salamat sa support!,Personal Message,,,Inner Circle,2026-03-20,Published,5:45,2
Early Access: New Vlog Dropping Tomorrow!,Watch my new vlog 24 hours before everyone else! Exclusive early access for members.,Early Access,,,VIP,2026-03-18,Published,22:10,3
BTS: Charot Lang Merch Photoshoot,Go behind the scenes of the Charot Lang merch collection photoshoot! See the full process.,Behind-the-Scenes,,,Bestie,2026-03-15,Published,12:20,4
Voice Message: Weekend Vibes with Alex,A casual voice message from Alex sharing her weekend plans and thoughts.,Voice Message,,,Inner Circle,2026-03-12,Published,3:15,5
Live Replay: Fan Q&A Session (March),Full replay of the exclusive live Q&A session with Alex. Members only!,Live Replay,,,VIP,2026-03-10,Published,45:00,6
Photo Set: Japan Trip Unseen Photos,Exclusive photo collection from Alex's Japan trip that didn't make it to the vlog.,Photo Set,,,Bestie,2026-03-08,Published,,7
BTS: Recording My New Song!,Sneak peek at Alex in the recording studio working on new music!,Behind-the-Scenes,,,VIP,2026-03-05,Published,8:45,8
Personal Message: Birthday Shoutouts!,Alex sends personalized birthday greetings to Inner Circle members this month.,Personal Message,,,Inner Circle,2026-03-01,Published,10:00,9
Early Access: Sister Showdown Part 2,Watch the highly anticipated Part 2 before anyone else!,Early Access,,,VIP,2026-02-25,Published,19:55,10
