UserName,Title,ContentURL,Description,Category,Status,SubmittedAt,Upvotes,UpvotedBy,UsedInVideoURL,AdminNotes
manilaFanGirl,Grandma Tries to Do Alex's Makeup Tutorial,https://tiktok.com/@example/video1,This grandma following Alex's makeup tutorial is the funniest thing ever! Her reactions are priceless.,Funny Video,Used in Video,2026-03-15,1247,"[]",https://youtube.com/watch?v=example1,Featured in Episode 87
kuya_art,Fan Animation: Alex as an Anime Character,https://youtube.com/watch?v=example2,I animated Alex as an anime character in her most iconic moments! Took me 3 months.,Fan Creation,Used in Video,2026-03-10,986,"[]",https://youtube.com/watch?v=example2,Featured in Episode 85
reyesJM,Cat Doing the Charot Dance,https://tiktok.com/@example/video3,This cat literally does the Charot dance move! You have to see this!,Funny Video,Shortlisted,2026-03-20,834,"[]",,Top contender for next episode
dave_cebufan,Alex's Doppelganger in Cebu,https://tiktok.com/@example/video4,Found someone in Cebu who looks EXACTLY like Alex! Even the mannerisms are the same!,Funny Video,Submitted,2026-03-22,562,"[]",,
sketch_by_sam,Speed Paint: Alex Gonzaga Portrait,https://youtube.com/watch?v=example5,Watch me create a hyper-realistic digital portrait of Alex in 60 seconds!,Fan Creation,Submitted,2026-03-21,445,"[]",,
jollibee_memes,Alex's Catchphrases as Different Music Genres,https://tiktok.com/@example/video6,I remixed all of Alex's catchphrases into different music genres - from classical to heavy metal!,Meme,Shortlisted,2026-03-18,723,"[]",,This is gold
angel_iligan,Throwback: Alex's First Ever YouTube Video vs Now,https://youtube.com/watch?v=example7,Side-by-side comparison of Alex's first video vs her latest. The glow up is real!,Throwback,Submitted,2026-03-19,389,"[]",,
lovelyLiza_ph,My Students Recreating Alex's Pranks,https://tiktok.com/@example/video8,My students tried to recreate Alex's famous pranks in class! The results are hilarious!,Funny Video,Submitted,2026-03-17,501,"[]",,
chrisnav_edits,Alex Gonzaga x Avengers Mashup Edit,https://youtube.com/watch?v=example9,What if Alex was an Avenger? This edit imagines Alex joining the MCU!,Fan Creation,Used in Video,2026-02-28,1102,"[]",https://youtube.com/watch?v=example9,Featured in Episode 83
ryan_aquino,Epic Fail Compilation Inspired by Alex,https://tiktok.com/@example/video10,Compiled the funniest fails that remind me of Alex's energy. Pure chaos!,Funny Video,Submitted,2026-03-23,267,"[]",,
